sampleid,oils,ketones,acetate,phenols,quantity0,soluble_mixture,length,maceration time,quantity1,ingredient1,ingredient0,soluble_components,ingredient2,ingredient3,ingredient4,ingredient5,ingredient6,ingredient7,ingredient8,ingredient9,ingredient10,ingredient11,ingredient12,ingredient13,ingredient14,ingredient15,ingredient16,ingredient17,quantity2,quantity3,quantity4,quantity5,quantity6,quantity7,quantity8,quantity9,quantity10,quantity11,quantity12,quantity13,quantity14,quantity15,quantity16,quantity17,PROPERTY:Diffusion Rate (10^6),PROPERTY: Staining Factor,PROPERTY: color wavelength,PROPERTY: color,PROPERTY: Survey Results
PER72-416,2,1,1,0,85.34,14.66,4,81,10.02,WATER,ETHYL ALCOHOL,4.64,CITRUS MEDICA ACIDA PEEL OIL EXPRESSED,PIMENTA OFFICINALIS FRUIT OIL,P-TOLYL PHENYLACETATE,METHOXYPHENYL-METHYLBUTANONE,,,,,,,,,,,,,1.244057971,1.815652174,1.042318841,0.537971014,,,,,,,,,,,,,5201.292,0.3,568.53465,yellow,39
PER82-614,6,0,1,0,85.35,14.65,7,51,10.01,WATER,ETHYL ALCOHOL,4.64,RAVENSARA AROMATICA TWIG OIL,SANTALUM SPICATA WOOD OIL,CITRUS NOBILIS LEAF OIL,VITIS VINIFERA OIL,HELICHRYSUM STOECHAS FLOWER OIL,THUJA PLICATA LEAF OIL,DIMETHYLBUTYL ACETATE,,,,,,,,,,0.300920502,0.786276151,0.931882845,0.436820084,0.708619247,0.893054393,0.582426778,,,,,,,,,,5201.372053,0.42,568.528,yellow,81
PER64-112,5,1,0,2,85.3,14.7,8,34,10.04,WATER,ETHYL ALCOHOL,4.66,SANTALUM SPICATA WOOD OIL,MELILOTUS OFFICINALIS HERB OIL,LAVANDULA SPICA HERB OIL,IRIS PALLIDA ROOT OIL,COMMIPHORA ERYTHREA GLABRESCENS GUM OIL,HYDROXYCITRONELLAL DIMETHYL ACETAL,TETRAMETHYL-4-METHYLENE-2-HEPTANOL,DIPROPYLENE GLYCOL,,,,,,,,,0.360595238,0.29125,1.123392857,0.208035714,0.943095238,1.373035714,0.221904762,0.138690476,,,,,,,,,5208.38,0.47,568.3537664,yellow,28
PER20-161,7,3,2,4,85.23,14.77,16,51,10.08,WATER,ETHYL ALCOHOL,4.69,CITRUS NOBILIS LEAF OIL,CINNAMOMUM CAMPHORA FORMOSANA LEAF OIL RECTIFIED,CITRUS AURANTIUM LEAF OIL,THUJOPSIS DOLABRATA LEAF OIL,RAVENSARA AROMATICA TWIG OIL,CITRUS PARADISI M. PEEL OIL EXPRESSED,EUCALYPTUS SMITHII LEAF OIL,PHENETHYL PHENYLACETATE,OCTYL ACETATE,"3,4-DIHYDRO-7-METHYLNAPHTHALENONE",HEXENYLCYCLOPENTANONE,BUTYROPHENONE,"2,3,6-TRIMETHYLPHENOL",METHYLOCTENOL,DIPROPYLENE GLYCOL,2-DECENOL,0.169927536,0.09515942,0.387434783,0.115550725,0.346652174,0.462202899,0.414623188,0.176724638,0.074768116,0.469,0.237898551,0.292275362,0.448608696,0.591347826,0.244695652,0.163130435,5214.85,0.45,568.34,yellow,69
PER26-139,5,1,1,0,85.2,14.8,7,32,10.09,WATER,ETHYL ALCOHOL,4.71,JUNIPERUS MEXICANA WOOD OIL,CITRUS MEDICA ACIDA PEEL OIL EXPRESSED,PINUS MUGO PUMILIO TWIG LEAF OIL,COMMIPHORA ABYSSINICA GUM OIL,LAVANDULA SPICA HERB OIL,LAURYL ACETATE,2-CARENYL METHYL KETONE,,,,,,,,,,1.469661654,1.310300752,0.389548872,0.46037594,0.035413534,0.371842105,0.672857143,,,,,,,,,,5220.510289,0.4,568.2335,yellow,42
PER65-561,4,0,0,1,85.19,14.81,5,44,10.1,WATER,ETHYL ALCOHOL,4.71,CITRUS PARADISI M. PEEL OIL EXPRESSED,COMMIPHORA ERYTHREA GLABRESCENS GUM OIL,LEVISTICUM OFFICINALE LEAF OIL,STYRAX BENZOIN RESIN OIL,2-HEXENOL,,,,,,,,,,,,1.275323077,0.057969231,1.246338462,0.869538462,1.260830769,,,,,,,,,,,,5223.259956,0.43,568.200725,yellow,35
PER88-309,4,0,2,2,85.17,14.83,8,8,10.11,WATER,ETHYL ALCOHOL,4.72,CITRUS PARADISI M. PEEL OIL EXPRESSED,CINNAMOMUM CAMPHORA FORMOSANA LEAF OIL RECTIFIED,TRIGONELLA FOENUM-GRAECUM SEED OIL,THUJA OCCIDENTALIS STEM OIL,5-MELOZOL ACETATE,TRIMETHYLDODECATRIEN-3-YL ACETATE,2-METHYLBUTANE-2-THIOL,METHOXY-METHYLBUTANETHIOL,,,,,,,,,0.396876877,0.77957958,0.113393393,0.581141141,0.198438438,1.389069069,0.51027027,0.751231231,,,,,,,,,5228.06998,0.42,568.1235613,yellow,63
PER29-427,4,3,1,3,85.16,14.84,11,85,10.12,WATER,ETHYL ALCOHOL,4.72,COMMIPHORA MYRRHA GUM OIL,ORMENIS MULTICAULIS FLOWER OIL,VITIS VINIFERA OIL,HELICHRYSUM STOECHAS FLOWER OIL,BENZYL ACETATE,4-METHYL-4-PHENYL-2-PENTANONE,HYDROXYCITRONELLAL DIMETHYL ACETAL,CYCLOHEXYLCYCLOHEXANONE,NEROL,DIPROPYLENE GLYCOL,PENTAMETHYLCYCLOHEXANEPROPANOL,,,,,,0.609940358,0.30027833,0.046918489,0.375347913,0.337813121,0.281510934,0.159522863,0.647475149,0.544254473,0.853916501,0.563021869,,,,,,5229.054165,0.39,568.11,yellow,59
PER88-567,6,0,0,0,85.12,14.88,6,79,10.14,WATER,ETHYL ALCOHOL,4.74,MELILOTUS OFFICINALIS HERB OIL,ARTEMISIA HERBA-ALBA HERB OIL,THYMUS SERPILLUM OIL,PINUS PALUSTRIS TWIG LEAF OIL,STYRAX TONKINENSIS RESIN OIL,STYRAX BENZOIN RESIN OIL,,,,,,,,,,,0.180571429,0.090285714,0.647047619,1.128571429,1.459619048,1.233904762,,,,,,,,,,,5242.348623,0.47,567.7999022,yellow,38
PER44-144,3,1,1,4,85,15,9,20,10.21,WATER,ETHYL ALCOHOL,4.79,ANETHUM SOWA SEED OIL,LAVANDULA SPICA HERB OIL,HELICHRYSUM STOECHAS FLOWER OIL,9-DECENYL ACETATE,1-TRIMETHYL-2-CYCLOHEXENYL-1-PENTEN-3-ONE,FARNESOL,ISOBUTYL LINALOOL,TETRAMETHYL-4-METHYLENE-2-HEPTANOL,DIMETHYLPHENYL CARBINOL,,,,,,,,0.131725,0.16765,0.5748,1.137625,0.874175,0.2395,0.83825,0.179625,0.64665,,,,,,,,5243.31835,0.52,567.67,yellow,28
PER30-402,5,1,0,2,84.89,15.11,8,51,10.27,WATER,ETHYL ALCOHOL,4.84,ROSMARINUS OFFICINALIS FLOWER OIL,PELARGONIUM CRISPUM LEAF OIL,COMMIPHORA SCHIMPERI GUM OIL,LAVANDULA SPICA HERB OIL,PINUS PALUSTRIS TWIG LEAF OIL,DIMETHYLCYCLOHEXENYL TERT-BUTYL KETONE,DIPROPYLENE GLYCOL,TRIMETHYLTRICYCLODODECANOL,,,,,,,,,0.421786492,0.790849673,0.253071895,1.033376906,0.537777778,0.210893246,0.95956427,0.632679739,,,,,,,,,5246.665234,0.63,567.6255,yellow,45
PER59-307,7,0,1,2,84.88,15.12,10,62,10.28,WATER,ETHYL ALCOHOL,4.84,RAVENSARA AROMATICA TWIG OIL,BAROSMA BETULINA LEAF OIL,PINUS MUGO PUMILIO TWIG LEAF OIL,IRIS PALLIDA ROOT OIL,THUJA PLICATA LEAF OIL,SANTALUM SPICATA WOOD OIL,CYPERUS SCARIOSUS ROOT OIL,ETHYL CYCLOHEXYLACETATE,PHENYLPENTANOL,CITROL,,,,,,,0.370060362,0.360321932,0.788812877,0.301891348,0.223983903,0.399275654,0.730382294,0.33110664,0.379798793,0.954366197,,,,,,,5249.78666,0.5,567.0175475,yellow,33
PER99-56,5,1,2,1,84.84,15.16,9,71,10.3,WATER,ETHYL ALCOHOL,4.86,IRIS PALLIDA ROOT OIL,VITIS VINIFERA OIL,CITRUS NOBILIS LEAF OIL,CYPERUS SCARIOSUS ROOT OIL,COMMIPHORA ABYSSINICA GUM OIL,CYCLOHEXYL CYCLOPENTENEACETATE,5-MELOZOL ACETATE,TRANS-ROSE KETONE-5,SANTALOL,,,,,,,,0.490326409,0.721068249,0.620118694,0.692225519,1.023916914,0.05768546,0.072106825,0.245163205,0.937388724,,,,,,,,5250.35,0.52,567.0089738,yellow,36
PER83-434,5,0,0,1,84.85,15.15,6,12,10.29,WATER,ETHYL ALCOHOL,4.86,CITRUS MEDICA ACIDA PEEL OIL EXPRESSED,PELARGONIUM CRISPUM LEAF OIL,MELILOTUS OFFICINALIS HERB OIL,CITRUS PARADISI M. PEEL OIL EXPRESSED,PINUS MUGO PUMILIO TWIG LEAF OIL,TETRAMETHYL-HEXADECATETRAEN-3-OL,,,,,,,,,,,1.103893805,0.98920354,1.189911504,0.573451327,0.157699115,0.845840708,,,,,,,,,,,5253.83284,0.35,566.5805,yellow,39
PER79-410,6,2,1,0,84.85,15.15,9,36,10.29,WATER,ETHYL ALCOHOL,4.86,PINUS PALUSTRIS TWIG LEAF OIL,ARNICA MONTANA FLOWER OIL,TRIGONELLA FOENUM-GRAECUM SEED OIL,IRIS PALLIDA ROOT OIL,COMMIPHORA ERYTHREA GLABRESCENS GUM OIL,CITRUS SINENSIS VALENCIA PEEL OIL EXPRESSED,GUAIACOL PHENYLACETATE,TRANS-5-METHYL-2-HEPTEN-4-ONE,2-CARENYL METHYL KETONE,,,,,,,,0.770070423,0.829964789,0.590387324,0.248133803,0.12834507,0.73584507,0.624612676,0.427816901,0.504823944,,,,,,,,5258.07295,0.39,565.9535,yellow,87
PER28-558,6,3,2,1,84.81,15.19,12,49,10.32,WATER,ETHYL ALCOHOL,4.87,PELARGONIUM CRISPUM LEAF OIL,IRIS PALLIDA ROOT OIL,COMMIPHORA ABYSSINICA GUM OIL,ARNICA MONTANA FLOWER OIL,CITRUS NOBILIS LEAF OIL,VERBENA OFFICINALIS LEAF RECTIFIED OIL,3-HEXENYL ACETATE,PHENETHYL PHENYLACETATE,METHOXYPHENYL-METHYLBUTANONE,TRANS-5-METHYL-2-HEPTEN-4-ONE,GAMMA-DODECALACTONE,TRIMETHYLTRICYCLODODECANOL,,,,,0.252196429,0.443517857,0.313071429,0.617446429,0.791375,0.417428571,0.226107143,0.800071429,0.026089286,0.521785714,0.182625,0.278285714,,,,,5258.3709,0.35,565.7825,yellow,76
PER13-473,5,0,0,4,84.83,15.17,9,31,10.3,WATER,ETHYL ALCOHOL,4.87,PINUS MUGO PUMILIO TWIG LEAF OIL,TRIGONELLA FOENUM-GRAECUM SEED OIL,BAROSMA BETULINA LEAF OIL,FOENICULUM VULGARE FRUIT OIL ,COMMIPHORA ABYSSINICA GUM OIL,ISOBUTYL LINALOOL,TRIMETHYL-2-CYCLOHEXENOL,CYCLOHEXYLPROPANOL,"2,3,6-TRIMETHYLPHENOL",,,,,,,,0.860693512,0.490268456,0.446689038,0.599217002,0.283266219,0.130738255,1.067695749,0.588322148,0.40310962,,,,,,,,5265.957,0.56,565.75,yellow,38
PER69-329,6,1,0,1,84.82,15.18,8,81,10.31,WATER,ETHYL ALCOHOL,4.87,CINNAMOMUM CAMPHORA LINALOOLIFERUM LEAF OIL,CYPERUS SCARIOSUS ROOT OIL,VERBENA OFFICINALIS LEAF RECTIFIED OIL,LAVANDULA INTERMEDIA FLOWER/LEAF/STEM OIL,ORMENIS MULTICAULIS FLOWER OIL,SANTALUM SPICATA WOOD OIL,"3,4-DIHYDRO-7-METHYLNAPHTHALENONE",CARVACROL,,,,,,,,,1.108061798,1.340617978,0.396713483,0.246235955,0.629269663,0.971264045,0.082078652,0.095758427,,,,,,,,,5272.274,0.43,565.56001,yellow,92
PER19-16,5,3,0,2,84.79,15.21,10,34,10.33,WATER,ETHYL ALCOHOL,4.88,ROSMARINUS OFFICINALIS FLOWER OIL,CITRUS PARADISI M. PEEL OIL EXPRESSED,FOENICULUM VULGARE FRUIT OIL ,SALVIA OFFICINALIS LAVANDULIFOLIA HERB OIL,BAROSMA BETULINA LEAF OIL,HEXENYLDIHYDROMETHYLFURANONE,DIMETHYLCYCLOHEXYL METHYL KETONE,2-HEPTYLCYCLOPENTANONE,"2-HEXYL-1,3-DIOXANOL","2,6-DIMETHYL-4-HEPTANOL",,,,,,,0.477391304,0.327101449,0.141449275,0.185652174,0.822173913,0.521594203,0.777971014,0.848695652,0.61884058,0.159130435,,,,,,,5273.48,0.5,565.5564,yellow,28
PER1-428,2,0,0,0,84.79,15.21,2,44,10.33,WATER,ETHYL ALCOHOL,4.88,SANTALUM SPICATA WOOD OIL,PINUS MUGO PUMILIO TWIG LEAF OIL,,,,,,,,,,,,,,,3.239663866,1.640336134,,,,,,,,,,,,,,,5284.625981,0.39,565.24955,green,95
PER85-445,7,0,1,4,84.77,15.23,12,10,10.34,WATER,ETHYL ALCOHOL,4.89,LAVANDULA SPICA HERB OIL,HELICHRYSUM STOECHAS FLOWER OIL,MYROCARPUS FRONDOSUS WOOD OIL,RAVENSARA AROMATICA TWIG OIL,PIMENTA OFFICINALIS FRUIT OIL,CITRUS SINENSIS VALENCIA PEEL OIL EXPRESSED,CITRUS NOBILIS LEAF OIL,"2,3,6-TRIMETHYLCYCLOHEXYLMETHYL ACETATE",SANTALOL,2-DECENOL,2-O-CRESYLETHANOL,DIMETHYLBENZYL CARBINOL,,,,,0.4564,0.246311111,0.652,0.057955556,0.709955556,0.014488889,0.1304,0.666488889,0.608533333,0.449155556,0.253555556,0.644755556,,,,,5285.364957,0.5,564.9898556,green,50
PER58-53,3,0,2,4,84.75,15.25,9,46,10.35,WATER,ETHYL ALCOHOL,4.9,IRIS PALLIDA ROOT OIL,PELARGONIUM CRISPUM LEAF OIL,COMMIPHORA ERYTHREA GLABRESCENS GUM OIL,P-ANISYL PHENYLACETATE,OCTYL ACETATE,2-DODECENOL,PINACOL,D-TRIMETHYL-3-CYCLOHEXENE-1-METHANOL,3-ETHYLPHENOL,,,,,,,,0.535519126,1.204918033,0.053551913,0.856830601,1.178142077,0.736338798,0.187431694,0.120491803,0.026775956,,,,,,,,5298.627691,0.42,564.5500223,green,21
PER40-288,6,1,0,0,84.74,15.26,7,71,10.36,WATER,ETHYL ALCOHOL,4.9,COMMIPHORA SCHIMPERI GUM OIL,SANTALUM SPICATA WOOD OIL,CINNAMOMUM CAMPHORA LINALOOLIFERUM LEAF OIL,IRIS PALLIDA ROOT OIL,FOENICULUM VULGARE FRUIT OIL ,CITRUS NOBILIS LEAF OIL,1-TRIMETHYL-2-CYCLOHEXENYL-1-PENTEN-3-ONE,,,,,,,,,,0.494949495,0.874410774,1.633333333,0.016498316,0.758922559,0.973400673,0.148484848,,,,,,,,,,5299.383933,0.48,564.482425,green,26
PER52-197,5,3,2,4,84.75,15.25,14,87,10.35,WATER,ETHYL ALCOHOL,4.9,COMMIPHORA MYRRHA GUM OIL,STYRAX TONKINENSIS RESIN OIL,CITRUS NOBILIS LEAF OIL,SALVIA OFFICINALIS LAVANDULIFOLIA HERB OIL,PELARGONIUM CRISPUM LEAF OIL,P-ANISYL PHENYLACETATE,TRANS-3-HEPTENYL ACETATE,BUTYROPHENONE,HEXENYLCYCLOPENTANONE,CYCLOHEXYLCYCLOHEXANONE,DIMETHYLBENZYL CARBINOL,2-METHYLFURAN-3-THIOL,GERANIOL,DIMETHYLPHENYL CARBINOL,,,0.079032258,0.276612903,0.250268817,0.13172043,0.26344086,0.283198925,0.309543011,0.546639785,0.52688172,0.322715054,0.579569892,0.6125,0.223924731,0.493951613,,,5307.743,0.53,563.64,green,44
PER38-545,5,0,1,3,84.68,15.32,9,27,10.39,WATER,ETHYL ALCOHOL,4.93,SALVIA OFFICINALIS LAVANDULIFOLIA HERB OIL,PINUS PALUSTRIS TWIG LEAF OIL,CITRUS MEDICA ACIDA PEEL OIL EXPRESSED,COMMIPHORA ABYSSINICA GUM OIL,EUCALYPTUS SPECIES LEAF OIL,METHYL-OCTAHYDRO-DIMETHYLAZULENYLETHYL ACETATE,3-ETHYLPHENOL,ISOPROPYLCYCLOHEXANOL,2-METHYLBUTANE-2-THIOL,,,,,,,,0.599756691,0.143941606,0.707712895,0.275888078,0.623746959,0.803673966,0.8156691,0.791678832,0.167931873,,,,,,,,5309.860698,0.34,563.1079175,green,35
PER44-19,2,0,2,2,84.68,15.32,6,86,10.39,WATER,ETHYL ALCOHOL,4.93,VERBENA OFFICINALIS LEAF RECTIFIED OIL,HELICHRYSUM STOECHAS FLOWER OIL,METHYLCYCLOHEXENYL-BUTENYL ACETATE,METHYL-OCTAHYDRO-DIMETHYLAZULENYLETHYL ACETATE,AMYL ALCOHOL,METHYLOCTENOL,,,,,,,,,,,1.178552189,0.78016835,0.580976431,0.647373737,0.514579125,1.228350168,,,,,,,,,,,5314.895855,0.65,563.1016,green,40
PER21-495,7,1,2,0,84.69,15.31,10,24,10.38,WATER,ETHYL ALCOHOL,4.93,FOENICULUM VULGARE VULGARE FRUIT OIL,CYMBOPOGON NARDUS HERB OIL,OPOPANAX CHIRONIUM RESIN STEAM-DISTILLED OIL,THUJA OCCIDENTALIS STEM OIL,CITRUS NOBILIS LEAF OIL,STYRAX BENZOIN RESIN OIL,VITIS VINIFERA OIL,HEXYL ACETATE,CIS-3-HEPTENYL ACETATE,NEOHESPERIDIN DIHYDROCHALCONE,,,,,,,0.280379147,0.292061611,0.362156398,0.607488152,0.408886256,0.502345972,0.806090047,0.993009479,0.654218009,0.023364929,,,,,,,5322.95515,0.61,562.923,green,49
PER69-372,5,3,0,0,84.67,15.33,8,16,10.39,WATER,ETHYL ALCOHOL,4.94,CYPERUS SCARIOSUS ROOT OIL,CINNAMOMUM CAMPHORA LINALOOLIFERUM LEAF OIL,ROSMARINUS OFFICINALIS FLOWER OIL,CITRUS NOBILIS LEAF OIL,EUCALYPTUS SPECIES LEAF OIL,DELTA-UNDECALACTONE,ETHYL PROPYL KETONE,PENTANEDIONE,,,,,,,,,0.212727273,0.543636364,0.118181818,0.460909091,1.028181818,0.720909091,0.839090909,1.016363636,,,,,,,,,5329.1268,0.67,562.821825,green,73
PER12-189,5,1,2,1,84.67,15.33,9,86,10.39,WATER,ETHYL ALCOHOL,4.94,PIMENTA OFFICINALIS FRUIT OIL,SALVIA OFFICINALIS LAVANDULIFOLIA HERB OIL,TRIGONELLA FOENUM-GRAECUM SEED OIL,THUJA OCCIDENTALIS STEM OIL,FOENICULUM VULGARE FRUIT OIL ,ETHYL LACTATE,A-TERPINYL ACETATE,"2,6-DIMETHYL-4-HEPTANONE","2-HEXYL-1,3-DIOXANOL",,,,,,,,0.267895879,0.139305857,0.825119306,0.192885033,0.910845987,0.589370933,0.985856833,0.525075922,0.503644252,,,,,,,,5330.809,0.5,562.7906888,green,33
PER39-106,2,0,1,3,84.63,15.37,6,10,10.42,WATER,ETHYL ALCOHOL,4.95,FOENICULUM VULGARE VULGARE FRUIT OIL,RAVENSARA AROMATICA TWIG OIL,ETHYL PHENOXYACETATE,4-METHYLPENTAN-2-OL,CARVACROL,"ALPHA,ALPHA-DIMETHYL-VINYL-O-MENTHENEMETHANOL",,,,,,,,,,,0.640086207,1.536206897,1.57887931,0.128017241,1.002801724,0.064008621,,,,,,,,,,,5340.65,0.38,562.72,green,50
PER39-298,7,0,0,3,84.57,15.43,10,13,10.45,WATER,ETHYL ALCOHOL,4.98,MYROCARPUS FRONDOSUS WOOD OIL,THYMUS SERPILLUM OIL,LAVANDULA INTERMEDIA FLOWER/LEAF/STEM OIL,SALVIA OFFICINALIS LAVANDULIFOLIA HERB OIL,PELARGONIUM CRISPUM LEAF OIL,VITIS VINIFERA OIL,VERBENA OFFICINALIS LEAF RECTIFIED OIL,PENTAMETHYLCYCLOHEXANEPROPANOL,3-ETHYLPHENOL,GERANIOL,,,,,,,0.016996587,0.441911263,0.16996587,0.28894198,0.951808874,0.883822526,1.155767918,0.118976109,0.322935154,0.62887372,,,,,,,5346.62,0.52,562.7173832,green,31
PER97-4,2,2,1,1,84.54,15.46,6,18,10.47,WATER,ETHYL ALCOHOL,4.99,CYPERUS SCARIOSUS ROOT OIL,SALVIA OFFICINALIS LAVANDULIFOLIA HERB OIL,"3,5-DIMETHYLCYCLOHEXYLMETHYL ACETATE",1-ACETONAPHTHONE,PENTAMETHYL-CYCLOPENT-1-ENYL METHYL KETONE,SANTALOL,,,,,,,,,,,0.529442971,0.767692308,0.344137931,0.873580902,1.217718833,1.257427056,,,,,,,,,,,5364.56635,0.39,562.7045,green,64
PER13-306,2,3,1,3,84.54,15.46,9,79,10.47,WATER,ETHYL ALCOHOL,4.99,ARTEMISIA HERBA-ALBA HERB OIL,CINNAMOMUM CAMPHORA FORMOSANA LEAF OIL RECTIFIED,LAURYL ACETATE,"6-ETHYLIDENEOCTAHYDRO-5,8-METHANO-2H-1-BENZOPYRAN-2-ONE",2-HEPTYLCYCLOPENTANONE,DIMETHYLCYCLOHEXENYL TERT-BUTYL KETONE,DIMETHYLBENZYL CARBINOL,GUAIACOL,2-DECENOL,,,,,,,,0.657365269,0.677285429,0.956167665,0.62748503,0.338642715,0.707165669,0.368522954,0.189241517,0.468123752,,,,,,,,5370.894562,0.51,562.2865,green,79
PER8-501,5,2,1,4,84.53,15.47,12,27,10.47,WATER,ETHYL ALCOHOL,5,STYRAX BENZOIN RESIN OIL,CITRUS SINENSIS VALENCIA PEEL OIL EXPRESSED,JUNIPERUS MEXICANA WOOD OIL,EUCALYPTUS SMITHII LEAF OIL,PINUS MUGO PUMILIO TWIG LEAF OIL,GAMMA-METHYLENEDIHYDROCINNAMYL ACETATE,PENTANEDIONE,METHYL THIAZOLYL KETONE,D-TRIMETHYL-3-CYCLOHEXENE-1-METHANOL,"2-HEXYL-1,3-DIOXANOL",PHENYLPENTANOL,ISOPROPYLCYCLOHEXANOL,,,,,0.125,0.652777778,0.222222222,0.361111111,0.513888889,0.590277778,0.208333333,0.618055556,0.645833333,0.638888889,0.013888889,0.409722222,,,,,5379.403393,0.42,562.244225,green,57
PER14-63,4,3,0,3,84.51,15.49,10,69,10.49,WATER,ETHYL ALCOHOL,5,CITRUS SINENSIS VALENCIA PEEL OIL EXPRESSED,LAVANDULA SPICA HERB OIL,CYMBOPOGON NARDUS HERB OIL,VITIS VINIFERA OIL,NEOHESPERIDIN DIHYDROCHALCONE,"3,4-DIHYDRO-7-METHYLNAPHTHALENONE","3,4-DIHYDRO-8-METHYLNAPHTHALENONE",PHENYLPENTANOL,DIPROPYLENE GLYCOL,CYCLOHEXYLPROPANOL,,,,,,,0.745412844,0.03440367,0.275229358,0.837155963,0.802752294,0.470183486,0.963302752,0.080275229,0.768348624,0.02293578,,,,,,,5385.43696,0.57,561.6666701,green,51
PER26-208,3,0,2,1,84.48,15.52,6,67,10.5,WATER,ETHYL ALCOHOL,5.02,SALVIA OFFICINALIS LAVANDULIFOLIA HERB OIL,CITRUS NOBILIS LEAF OIL,EUCALYPTUS SPECIES LEAF OIL,P-TERT-BUTYLPHENYL ACETATE,TRIMETHYLDODECATRIEN-3-YL ACETATE,NEROL,,,,,,,,,,,0.756984127,0.876507937,1.513968254,0.597619048,1.195238095,0.07968254,,,,,,,,,,,5387.57155,0.33,561.6585251,green,24
PER97-97,3,0,0,0,84.46,15.54,3,7,10.51,WATER,ETHYL ALCOHOL,5.03,MYROCARPUS FRONDOSUS WOOD OIL,ROSMARINUS OFFICINALIS FLOWER OIL,EUCALYPTUS SPECIES LEAF OIL,,,,,,,,,,,,,,1.460322581,2.368967742,1.200709677,,,,,,,,,,,,,,5397.869,0.46,561.56,green,34
PER92-261,5,3,0,1,84.46,15.54,9,18,10.51,WATER,ETHYL ALCOHOL,5.03,JUNIPERUS MEXICANA WOOD OIL,FOENICULUM VULGARE FRUIT OIL ,CITRUS AURANTIUM LEAF OIL,LAVANDULA INTERMEDIA FLOWER/LEAF/STEM OIL,COMMIPHORA SCHIMPERI GUM OIL,NEOHESPERIDIN DIHYDROCHALCONE,4-METHYL-4-PHENYL-2-PENTANONE,"3,4-DIHYDRO-8-METHYLNAPHTHALENONE",3-ETHYLPHENOL,,,,,,,,0.634217391,0.896652174,0.098413043,0.470195652,0.328043478,0.404586957,0.503,1.038804348,0.656086957,,,,,,,,5401.45,0.46,561.251475,green,24
PER53-225,3,0,1,2,84.42,15.58,6,79,10.54,WATER,ETHYL ALCOHOL,5.04,SALVIA OFFICINALIS LAVANDULIFOLIA HERB OIL,TRIGONELLA FOENUM-GRAECUM SEED OIL,ARTEMISIA HERBA-ALBA HERB OIL,LAURYL ACETATE,GERANIOL,2-HEXENOL,,,,,,,,,,,0.699190751,1.267283237,0.087398844,1.369248555,1.063352601,0.553526012,,,,,,,,,,,5403.755,0.41,561.21,green,73
PER93-237,4,1,2,3,84.4,15.6,10,11,10.55,WATER,ETHYL ALCOHOL,5.05,PINUS PALUSTRIS TWIG LEAF OIL,VITIS VINIFERA OIL,EUCALYPTUS SMITHII LEAF OIL,CITRUS AURANTIUM LEAF OIL,DIMETHYLBUTYL ACETATE,M-TOLYL PHENYLACETATE,GAMMA-DODECALACTONE,GERANIOL,2-DECENOL,ISOBUTYL LINALOOL,,,,,,,0.613670886,0.02556962,0.332405063,0.703164557,0.230126582,0.255696203,0.946075949,1.02278481,0.357974684,0.562531646,,,,,,,5420.848533,0.4,560.655825,green,38
PER43-335,3,3,2,4,84.38,15.62,12,30,10.56,WATER,ETHYL ALCOHOL,5.06,COMMIPHORA ABYSSINICA GUM OIL,CINNAMOMUM CAMPHORA LINALOOLIFERUM LEAF OIL,FOENICULUM VULGARE CAPILLACEUM FRUIT OIL,ETHYL PHENYLACETATE,ETHYL PALMITATE,ETHYL PROPYL KETONE,"METHYL 2,6,10-TRIMETHYLCYCLODODECA-2,5,9-TRIENYL KETONE",HEXENYLCYCLOPENTANONE,BETA-PINEN-3-OL,FARNESOL,METHYLOCTENOL,GERANIOL,,,,,0.009166667,0.715,0.320833333,0.531666667,0.293333333,0.861666667,0.504166667,0.724166667,0.018333333,0.66,0.238333333,0.183333333,,,,,5427.76,0.46,560.493375,green,53
PER4-253,6,3,2,2,84.37,15.63,13,83,10.56,WATER,ETHYL ALCOHOL,5.07,SANTALUM SPICATA WOOD OIL,COMMIPHORA SCHIMPERI GUM OIL,CINNAMOMUM CAMPHORA FORMOSANA LEAF OIL RECTIFIED,COMMIPHORA ERYTHREA GLABRESCENS GUM OIL,FOENICULUM VULGARE CAPILLACEUM FRUIT OIL,ORMENIS MULTICAULIS FLOWER OIL,LAURYL ACETATE,ETHYL CYCLOHEXYLACETATE,"METHYL 2,6,10-TRIMETHYLCYCLODODECA-2,5,9-TRIENYL KETONE",CARVONE,TRANS-5-OCTENONE,TRIMETHYLTRICYCLODODECANOL,GUAIACOL,,,,0.912798434,0.109138943,0.019843444,0.357181996,0.277808219,0.555616438,0.049608611,0.793737769,0.396868885,0.317495108,0.535772994,0.585381605,0.158747554,,,,5435.329223,0.37,560.4625,green,37
PER44-577,2,1,1,4,84.34,15.66,8,81,10.58,WATER,ETHYL ALCOHOL,5.08,MELILOTUS OFFICINALIS HERB OIL,STYRAX TONKINENSIS RESIN OIL,GUAIACOL PHENYLACETATE,"METHYL 2,6,10-TRIMETHYLCYCLODODECA-2,5,9-TRIENYL KETONE",GUAIACOL,PENTAMETHYLCYCLOHEXANEPROPANOL,CARVACROL,"ALPHA,ALPHA-DIMETHYL-VINYL-O-MENTHENEMETHANOL",,,,,,,,,0.12192,1.192106667,1.070186667,0.6096,0.4064,0.73152,0.69088,0.257386667,,,,,,,,,5441.231612,0.42,560.2820095,green,32
